model,normalization,n,spearman_rho,raw_p
pooled,original,600,0.41133459359209507,6.695455309206064e-26
pooled,max_norm,600,0.3446285941305675,3.570276027894225e-18
pooled,sum_norm,600,-0.4269642264415824,5.567745852011562e-28
pooled,delete_pred_norm,600,0.4188974058871802,6.806155864105283e-27
pooled,add_gt_norm,600,-0.4280320779405198,3.976888529421061e-28
pooled,replace_overlap_norm,600,0.03531537424570289,0.38785606142833623
openai,original,200,,
openai,max_norm,200,,
openai,sum_norm,200,,
openai,delete_pred_norm,200,,
openai,add_gt_norm,200,,
openai,replace_overlap_norm,200,,
claude,original,200,,
claude,max_norm,200,,
claude,sum_norm,200,,
claude,delete_pred_norm,200,,
claude,add_gt_norm,200,,
claude,replace_overlap_norm,200,,
gemini,original,200,0.686790620854426,3.023660336081666e-29
gemini,max_norm,200,0.3433415793506323,6.44821201516164e-07
gemini,sum_norm,200,-0.6919836288932609,7.774215702614681e-30
gemini,delete_pred_norm,200,0.6844282677518916,5.556631869622512e-29
gemini,add_gt_norm,200,-0.6973491982663657,1.8532497340392855e-30
gemini,replace_overlap_norm,200,0.06235519742616745,0.3803985298532019
