model,outcome,n,spearman_rho,raw_p
openai,free_normalized_add_cost,200,,
openai,free_normalized_delete_cost,200,,
openai,free_normalized_replace_cost,200,,
openai,free_total_normalized_repair_cost,200,,
openai,free_voxel_count,200,,
openai,free_voxel_count_ratio,200,,
openai,free_action_count,200,,
openai,description_char_count,200,,
openai,description_token_count,200,,
openai,gt_voxel_count,200,,
openai,gt_bbox_volume,200,,
openai,gt_material_count,200,,
claude,free_normalized_add_cost,200,,
claude,free_normalized_delete_cost,200,,
claude,free_normalized_replace_cost,200,,
claude,free_total_normalized_repair_cost,200,,
claude,free_voxel_count,200,,
claude,free_voxel_count_ratio,200,,
claude,free_action_count,200,,
claude,description_char_count,200,,
claude,description_token_count,200,,
claude,gt_voxel_count,200,,
claude,gt_bbox_volume,200,,
claude,gt_material_count,200,,
gemini,free_normalized_add_cost,200,-0.6973491982663657,1.8532497340392855e-30
gemini,free_normalized_delete_cost,200,0.6977745651573382,1.651874315238338e-30
gemini,free_normalized_replace_cost,200,0.6942237048890892,4.288821680379097e-30
gemini,free_total_normalized_repair_cost,200,0.6873538424329174,2.613084352713595e-29
gemini,free_voxel_count,200,0.6842182469002995,5.86389032892923e-29
gemini,free_voxel_count_ratio,200,0.6975635384826736,1.7489276509508293e-30
gemini,free_action_count,200,0.6999476113751293,9.149369220860679e-31
gemini,description_char_count,200,0.6992533110276754,1.1056624852970089e-30
gemini,description_token_count,200,0.6993194039156178,1.085937557106595e-30
gemini,gt_voxel_count,200,0.21087938787548238,0.0027231803307112812
gemini,gt_bbox_volume,200,0.21270294149538213,0.002495401758747086
gemini,gt_material_count,200,-0.040408045071132256,0.5699628292260762
