scene_id,dataset_version,building_id,condition,evaluation_status,absolute_iou,translation_aligned_iou,absolute_f1,translation_aligned_f1,bbox_dimension_mae,centroid_distance,diagnostic_aligned_iou_10,material_aware_iou,exact_position_material_f1,material_set_precision,material_set_recall,material_set_f1,material_histogram_similarity,dominant_material_accuracy,add_count,delete_count,replace_count,normalized_add_cost,normalized_delete_cost,normalized_replace_cost,total_normalized_repair_cost,alignment_shift_magnitude,alignment_shift_x,alignment_shift_y,alignment_shift_z,bbox_depth_error,bbox_height_error,bbox_width_error,description_model,empty_build,executor_status,failure_as_zero,overlap_position_material_agreement,representation,unsupported_command_rate
v1:building_004,v1,building_004,direct_image_to_build,success,0.09079903147699758,0.37767584097859325,0.1664816870144284,0.5482796892341842,2.6666666666666665,7.033948507246422,0.37767584097859325,0.01065619742007852,0.021087680355160933,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6595156848659004,0,28,786,269,0.05363984674329502,1.5057471264367817,0.5153256704980843,2.074712643678161,,,,,,,,,,,,,,
v1:building_037,v1,building_037,direct_image_to_build,success,0.058503401360544216,0.18669920683343502,0.11053984575835475,0.3146529562982005,7.0,9.801443642553558,0.18669920683343502,0.00025713551041398817,0.0005141388174807198,0.625,0.7142857142857143,0.6666666666666666,0.40333012498149434,0,139,2527,451,0.18508655126498003,3.3648468708388815,0.6005326231691078,4.150466045272969,,,,,,,,,,,,,,
v1:building_057,v1,building_057,direct_image_to_build,success,0.07938785270205644,0.30537883169462116,0.14709791758972088,0.4678777137793531,3.0,7.49739313323151,0.30537883169462116,0.025442980463425715,0.04962339388568897,0.75,0.8571428571428571,0.7999999999999999,0.5251836017343684,0,171,1030,432,0.2446351931330472,1.4735336194563662,0.6180257510729614,2.336194563662375,,,,,,,,,,,,,,
v1:building_064,v1,building_064,direct_image_to_build,success,0.05949820788530466,0.22452361226180614,0.11231393775372124,0.36671177266576455,6.0,9.018263901813814,0.22452361226180614,0.006469186244467144,0.012855209742895805,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.504416776176582,0,153,1719,531,0.22014388489208633,2.4733812949640286,0.7640287769784173,3.4575539568345324,,,,,,,,,,,,,,
v1:building_071,v1,building_071,direct_image_to_build,success,0.07232346241457858,0.24784625579854208,0.13489113117365908,0.39723844928305896,4.666666666666667,8.694639049913542,0.24784625579854208,0.0,0.0,0.5,0.2857142857142857,0.36363636363636365,0.22748091603053433,0,281,854,360,0.42900763358778626,1.3038167938931298,0.549618320610687,2.282442748091603,,,,,,,,,,,,,,
v1:building_075,v1,building_075,direct_image_to_build,success,0.07835128109914594,0.21608040201005024,0.1453168044077135,0.3553719008264463,6.666666666666667,9.465281054207484,0.21608040201005024,0.01008695652173913,0.01997245179063361,0.5,0.5714285714285714,0.5333333333333333,0.24861013576779026,0,252,1620,431,0.328125,2.109375,0.5611979166666666,2.9986979166666665,,,,,,,,,,,,,,
v1:building_080,v1,building_080,direct_image_to_build,success,0.05597688696280245,0.20131470829909615,0.10601915184678522,0.33515731874145005,8.0,9.429139464800732,0.20131470829909615,0.0,0.0,0.8571428571428571,0.75,0.7999999999999999,0.4129852440707091,0,187,1757,448,0.276218611521418,2.5952732644017726,0.6617429837518464,3.533234859675037,,,,,,,,,,,,,,
v1:building_081,v1,building_081,direct_image_to_build,success,0.0,0.12514484356894554,0.0,0.2224510813594233,3.0,9.083559238211848,0.12514484356894554,0.0,0.0,0.3333333333333333,0.14285714285714285,0.2,0.14449213161659513,0,591,164,92,0.8454935622317596,0.23462088698140202,0.13161659513590845,1.21173104434907,,,,,,,,,,,,,,
v1:building_089,v1,building_089,direct_image_to_build,success,0.08826638477801269,0.2524330900243309,0.16221466731423023,0.40310830500242845,6.0,6.867884554866892,0.2524330900243309,0.0,0.0,0.4,0.2857142857142857,0.3333333333333333,0.23826086956521741,0,160,1069,358,0.2782608695652174,1.8591304347826088,0.6226086956521739,2.76,,,,,,,,,,,,,,
v1:building_095,v1,building_095,direct_image_to_build,success,0.08104956268221575,0.29559748427672955,0.1499460625674218,0.4563106796116505,4.0,8.11320605629534,0.29559748427672955,0.0027041644131963224,0.005393743257820928,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.3322754966887417,0,181,827,351,0.2996688741721854,1.369205298013245,0.5811258278145696,2.25,,,,,,,,,,,,,,
v1:building_006,v1,building_006,direct_image_to_build,success,0.07844990548204159,0.26590236686390534,0.14548641542506574,0.4200993280747882,4.666666666666667,9.778426208872812,0.26590236686390534,0.003223915592028136,0.006427110721589249,0.6666666666666666,0.75,0.7058823529411765,0.3380779495563944,0,117,1868,518,0.13995215311004786,2.2344497607655502,0.6196172248803827,2.9940191387559807,,,,,,,,,,,,,,
v1:building_030,v1,building_030,direct_image_to_build,success,0.07526881720430108,0.2627489072365226,0.14,0.41615384615384615,5.333333333333333,9.771768769832027,0.2627489072365226,0.00463678516228748,0.009230769230769232,0.7142857142857143,0.625,0.6666666666666666,0.2862966755026952,0,320,1198,520,0.3716608594657375,1.3914053426248547,0.6039488966318235,2.367015098722416,,,,,,,,,,,,,,
v1:building_038,v1,building_038,direct_image_to_build,success,0.06192660550458716,0.19909355778569116,0.11663066954643629,0.33207343412526996,8.0,9.628717390190278,0.19909355778569116,0.003794037940379404,0.00755939524838013,0.8571428571428571,0.75,0.7999999999999999,0.5241928308642375,0,276,2198,349,0.30976430976430974,2.4668911335578003,0.39169472502805835,3.1683501683501682,,,,,,,,,,,,,,
v1:building_040,v1,building_040,direct_image_to_build,success,0.0693717277486911,0.3696563285834032,0.12974296205630353,0.539779681762546,2.6666666666666665,8.46880482734867,0.3696563285834032,0.0043023970497848806,0.008567931456548347,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.4831958770609077,0,378,374,349,0.46153846153846156,0.45665445665445664,0.4261294261294261,1.3443223443223444,,,,,,,,,,,,,,
v1:building_041,v1,building_041,direct_image_to_build,success,0.08424599831508003,0.34623430962343094,0.1554001554001554,0.5143745143745144,1.3333333333333333,9.440705829224605,0.34623430962343094,0.0,0.0,0.4444444444444444,0.5714285714285714,0.5,0.2589538019716313,0,131,1119,620,0.16519546027742749,1.4110970996216898,0.7818411097099621,2.3581336696090793,,,,,,,,,,,,,,
v1:building_050,v1,building_050,direct_image_to_build,success,0.027768136063866713,0.1796812749003984,0.05403579871664978,0.30462681526511315,8.0,10.635500440262394,0.1796812749003984,0.0,0.0,0.75,0.75,0.75,0.4378143957369682,0,364,1695,439,0.4466257668711656,2.079754601226994,0.5386503067484663,3.065030674846626,,,,,,,,,,,,,,
v1:building_052,v1,building_052,direct_image_to_build,success,0.07456670697299476,0.37706611570247933,0.13878469617404351,0.5476369092273068,2.3333333333333335,9.772735035182324,0.37706611570247933,0.0,0.0,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.41267995570321153,0,130,1076,661,0.1511627906976744,1.2511627906976743,0.7686046511627908,2.1709302325581397,,,,,,,,,,,,,,
v1:building_067,v1,building_067,direct_image_to_build,success,0.06295694557270512,0.3573651452282158,0.11845624761176919,0.526557126480703,4.333333333333333,9.485494926188768,0.3573651452282158,0.017891870867366783,0.03515475735575086,0.4,0.2857142857142857,0.3333333333333333,0.3147734376039048,1,163,1076,473,0.19131455399061034,1.2629107981220657,0.5551643192488263,2.0093896713615025,,,,,,,,,,,,,,
v1:building_078,v1,building_078,direct_image_to_build,success,0.012006861063464836,0.27843986998916576,0.023728813559322038,0.43559322033898307,2.0,9.548761848131026,0.27843986998916576,0.009409751924721984,0.01864406779661017,0.6666666666666666,0.25,0.36363636363636365,0.3767313019390581,0,562,104,217,0.6862026862026862,0.12698412698412698,0.26495726495726496,1.078144078144078,,,,,,,,,,,,,,
v1:building_094,v1,building_094,direct_image_to_build,success,0.06145442130419938,0.23373015873015873,0.11579285944033452,0.3788999678353169,6.666666666666667,10.060634300370731,0.23373015873015873,0.0,0.0,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.4746861265444896,0,186,1745,576,0.24,2.2516129032258063,0.743225806451613,3.2348387096774194,,,,,,,,,,,,,,
v1:building_012,v1,building_012,direct_image_to_build,success,0.0797610681658468,0.2988165680473373,0.1477383664171819,0.4601366742596811,5.333333333333333,9.721369619937734,0.2988165680473373,0.010190664036817882,0.020175724048161404,0.75,0.75,0.75,0.3683107232773582,0,268,1391,519,0.27487179487179486,1.4266666666666667,0.5323076923076923,2.233846153846154,,,,,,,,,,,,,,
v1:building_014,v1,building_014,direct_image_to_build,success,0.0802784222737819,0.42822085889570555,0.1486254295532646,0.5996563573883162,1.6666666666666667,9.279853598537107,0.42822085889570555,0.004314063848144953,0.00859106529209622,0.8571428571428571,0.75,0.7999999999999999,0.46307396397971673,0,205,727,461,0.22702104097452935,0.805094130675526,0.5105204872646734,1.5426356589147288,,,,,,,,,,,,,,
