comparison,metric,wins,ties,losses
direct_vs_free_form_openai,absolute_iou,23,0,77
direct_vs_free_form_openai,translation_aligned_iou,58,0,42
direct_vs_free_form_openai,bbox_dimension_mae,30,8,62
direct_vs_free_form_openai,material_set_f1,31,4,65
direct_vs_free_form_openai,material_histogram_similarity,44,0,56
direct_vs_free_form_openai,material_aware_iou,29,5,66
direct_vs_free_form_openai,exact_position_material_f1,29,5,66
direct_vs_free_form_openai,normalized_add_cost,29,0,71
direct_vs_free_form_openai,normalized_delete_cost,75,0,25
direct_vs_free_form_openai,normalized_replace_cost,72,0,28
direct_vs_free_form_openai,total_normalized_repair_cost,75,0,25
direct_vs_structured_openai,absolute_iou,32,0,68
direct_vs_structured_openai,translation_aligned_iou,59,0,41
direct_vs_structured_openai,bbox_dimension_mae,37,9,54
direct_vs_structured_openai,material_set_f1,31,7,62
direct_vs_structured_openai,material_histogram_similarity,40,0,60
direct_vs_structured_openai,material_aware_iou,38,7,55
direct_vs_structured_openai,exact_position_material_f1,38,7,55
direct_vs_structured_openai,normalized_add_cost,30,0,70
direct_vs_structured_openai,normalized_delete_cost,67,0,33
direct_vs_structured_openai,normalized_replace_cost,72,0,28
direct_vs_structured_openai,total_normalized_repair_cost,69,0,31
direct_vs_free_form_claude,absolute_iou,41,0,59
direct_vs_free_form_claude,translation_aligned_iou,69,0,31
direct_vs_free_form_claude,bbox_dimension_mae,19,1,80
direct_vs_free_form_claude,material_set_f1,83,3,14
direct_vs_free_form_claude,material_histogram_similarity,60,0,40
direct_vs_free_form_claude,material_aware_iou,34,13,53
direct_vs_free_form_claude,exact_position_material_f1,34,13,53
direct_vs_free_form_claude,normalized_add_cost,12,1,87
direct_vs_free_form_claude,normalized_delete_cost,90,0,10
direct_vs_free_form_claude,normalized_replace_cost,83,0,17
direct_vs_free_form_claude,total_normalized_repair_cost,90,0,10
direct_vs_structured_claude,absolute_iou,52,0,48
direct_vs_structured_claude,translation_aligned_iou,66,0,34
direct_vs_structured_claude,bbox_dimension_mae,24,2,74
direct_vs_structured_claude,material_set_f1,80,2,18
direct_vs_structured_claude,material_histogram_similarity,53,0,47
direct_vs_structured_claude,material_aware_iou,31,13,56
direct_vs_structured_claude,exact_position_material_f1,31,13,56
direct_vs_structured_claude,normalized_add_cost,17,0,83
direct_vs_structured_claude,normalized_delete_cost,86,0,14
direct_vs_structured_claude,normalized_replace_cost,84,0,16
direct_vs_structured_claude,total_normalized_repair_cost,85,0,15
direct_vs_free_form_gemini,absolute_iou,31,0,69
direct_vs_free_form_gemini,translation_aligned_iou,54,0,46
direct_vs_free_form_gemini,bbox_dimension_mae,62,1,37
direct_vs_free_form_gemini,material_set_f1,36,0,64
direct_vs_free_form_gemini,material_histogram_similarity,44,0,56
direct_vs_free_form_gemini,material_aware_iou,34,8,58
direct_vs_free_form_gemini,exact_position_material_f1,34,8,58
direct_vs_free_form_gemini,normalized_add_cost,54,0,46
direct_vs_free_form_gemini,normalized_delete_cost,48,0,52
direct_vs_free_form_gemini,normalized_replace_cost,48,0,52
direct_vs_free_form_gemini,total_normalized_repair_cost,50,0,50
direct_vs_structured_gemini,absolute_iou,28,0,72
direct_vs_structured_gemini,translation_aligned_iou,54,0,46
direct_vs_structured_gemini,bbox_dimension_mae,60,5,35
direct_vs_structured_gemini,material_set_f1,44,1,55
direct_vs_structured_gemini,material_histogram_similarity,40,0,60
direct_vs_structured_gemini,material_aware_iou,33,11,56
direct_vs_structured_gemini,exact_position_material_f1,33,11,56
direct_vs_structured_gemini,normalized_add_cost,51,0,49
direct_vs_structured_gemini,normalized_delete_cost,50,0,50
direct_vs_structured_gemini,normalized_replace_cost,53,0,47
direct_vs_structured_gemini,total_normalized_repair_cost,51,0,49
