n,stage,standardized_beta
600,dimension_description_to_bbox,-0.7201189435230602
600,bbox_to_aligned_geometry,-0.7407930600083176
600,aligned_to_absolute_geometry,0.6442437351070163
600,material_description_to_set,0.767433376094318
600,material_set_to_histogram,0.6875655134096026
600,histogram_to_absolute_grounding,0.3785422218945149
600,material_aware_to_exact_f1,0.9993752734078392
600,completeness_to_actions,0.5207642461538186
600,actions_to_voxels,0.29326719253745814
600,voxel_count_to_repair,0.8761415889290928
