added,description_model,omitted,role_changes,scene_id,status
[],openai,[],0,v1:building_000,consistent
[],claude,[],0,v1:building_000,consistent
[],gemini,[],0,v1:building_000,consistent
[],openai,[],0,v1:building_001,consistent
[],claude,[],0,v1:building_001,consistent
[],gemini,[],0,v1:building_001,consistent
[],openai,[],0,v1:building_002,consistent
[],claude,[],0,v1:building_002,consistent
[],gemini,[],0,v1:building_002,consistent
[],openai,[],0,v1:building_003,consistent
[],claude,[],0,v1:building_003,consistent
[],gemini,[],0,v1:building_003,consistent
[],openai,[],0,v1:building_004,consistent
[],claude,[],0,v1:building_004,consistent
[],gemini,[],0,v1:building_004,consistent
[],openai,[],0,v1:building_005,consistent
[],claude,[],0,v1:building_005,consistent
[],gemini,[],0,v1:building_005,consistent
[],openai,[],0,v1:building_006,consistent
[],claude,[],0,v1:building_006,consistent
[],gemini,[],0,v1:building_006,consistent
[],openai,[],0,v1:building_007,consistent
[],claude,[],0,v1:building_007,consistent
[],gemini,[],0,v1:building_007,consistent
[],openai,[],0,v1:building_008,consistent
[],claude,[],0,v1:building_008,consistent
[],gemini,[],0,v1:building_008,consistent
[],openai,[],0,v1:building_009,consistent
[],claude,[],0,v1:building_009,consistent
[],gemini,[],0,v1:building_009,consistent
[],openai,[],0,v1:building_010,consistent
[],claude,[],0,v1:building_010,consistent
[],gemini,[],0,v1:building_010,consistent
[],openai,[],0,v1:building_011,consistent
[],claude,[],0,v1:building_011,consistent
[],gemini,[],0,v1:building_011,consistent
[],openai,[],0,v1:building_012,consistent
[],claude,[],0,v1:building_012,consistent
[],gemini,[],0,v1:building_012,consistent
[],openai,[],0,v1:building_013,consistent
[],claude,[],0,v1:building_013,consistent
[],gemini,[],0,v1:building_013,consistent
[],openai,[],0,v1:building_014,consistent
[],claude,[],0,v1:building_014,consistent
[],gemini,[],0,v1:building_014,consistent
[],openai,[],0,v1:building_015,consistent
[],claude,[],0,v1:building_015,consistent
[],gemini,[],0,v1:building_015,consistent
[],openai,[],0,v1:building_016,consistent
[],claude,[],0,v1:building_016,consistent
[],gemini,[],0,v1:building_016,consistent
[],openai,[],0,v1:building_017,consistent
[],claude,[],0,v1:building_017,consistent
[],gemini,[],0,v1:building_017,consistent
[],openai,[],0,v1:building_018,consistent
[],claude,[],0,v1:building_018,consistent
[],gemini,[],0,v1:building_018,consistent
[],openai,[],0,v1:building_019,consistent
[],claude,[],0,v1:building_019,consistent
[],gemini,[],0,v1:building_019,consistent
[],openai,[],0,v1:building_020,consistent
[],claude,[],0,v1:building_020,consistent
[],gemini,[],0,v1:building_020,consistent
[],openai,[],0,v1:building_021,consistent
[],claude,[],0,v1:building_021,consistent
[],gemini,[],0,v1:building_021,consistent
[],openai,[],0,v1:building_022,consistent
[],claude,[],0,v1:building_022,consistent
[],gemini,[],0,v1:building_022,consistent
[],openai,[],0,v1:building_023,consistent
[],claude,[],0,v1:building_023,consistent
[],gemini,[],0,v1:building_023,consistent
[],openai,[],0,v1:building_024,consistent
[],claude,[],0,v1:building_024,consistent
[],gemini,[],0,v1:building_024,consistent
[],openai,[],0,v1:building_025,consistent
[],claude,[],0,v1:building_025,consistent
[],gemini,[],0,v1:building_025,consistent
[],openai,[],0,v1:building_026,consistent
[],claude,[],0,v1:building_026,consistent
