description_model,representation,metric,within_condition_sd,coefficient_of_variation,icc
claude,free_form,absolute_iou,0.0205940009908646,0.284905676212657,0.7725128055139788
claude,free_form,translation_aligned_iou,0.0236984179177423,0.1106432304034658,0.8847407804483824
claude,free_form,bbox_dimension_mae,0.5523499837634296,0.0497114985387086,0.9906464243387988
claude,free_form,material_set_f1,0.0386979609748466,0.0824817036553993,0.8203726192650223
claude,free_form,material_aware_iou,0.0076026595040556,0.4402124663332983,0.709698969024021
claude,free_form,total_normalized_repair_cost,0.0890514074835754,0.0678585430512466,0.7995171156567725
claude,structured,absolute_iou,0.0181099632650105,0.2952794731678518,0.7544900388673293
claude,structured,translation_aligned_iou,0.0292385239013811,0.1329743092854194,0.8568714129588646
claude,structured,bbox_dimension_mae,0.7781272087496408,0.0719501186172613,0.9781238745377604
claude,structured,material_set_f1,0.0422600637836087,0.0869731410747466,0.8465809633964807
claude,structured,material_aware_iou,0.0099616636219425,0.6194668413757322,0.5239287607335112
claude,structured,total_normalized_repair_cost,0.0919420997025642,0.0710000815415507,0.7778550619926327
gemini,free_form,absolute_iou,0.0219928007228459,0.2610574467596824,0.829170649023576
gemini,free_form,translation_aligned_iou,0.0219133687521411,0.1102168829090476,0.9552204835684118
gemini,free_form,bbox_dimension_mae,0.9147188547417612,0.0981614033307931,0.9752821902535928
gemini,free_form,material_set_f1,0.0375416271253926,0.0659340892314609,0.969498238807549
gemini,free_form,material_aware_iou,0.0095490610979245,0.6329990200513209,0.5431473360252247
gemini,free_form,total_normalized_repair_cost,0.2912240045803442,0.1471369941905955,0.8519856827653716
gemini,structured,absolute_iou,0.0192648059051789,0.2601517550927105,0.8258740947722981
gemini,structured,translation_aligned_iou,0.0166047894571887,0.0882541934993581,0.9724118413425732
gemini,structured,bbox_dimension_mae,0.7229777452887886,0.0737453688054298,0.9892543342403064
gemini,structured,material_set_f1,0.0314539643176191,0.0582615351031404,0.9850231015377708
gemini,structured,material_aware_iou,0.0066416397039266,0.4871616084344921,0.6675306732047784
gemini,structured,total_normalized_repair_cost,0.3203380793476335,0.1635437689934487,0.728826474610913
openai,free_form,absolute_iou,0.0208132385619157,0.2645544223311876,0.7325144126237333
openai,free_form,translation_aligned_iou,0.0297679811617312,0.1256417637527131,0.7778577430439306
openai,free_form,bbox_dimension_mae,0.5877871787705115,0.070005530775491,0.9751569500881836
openai,free_form,material_set_f1,0.0824227806689638,0.1110192347500008,0.3728015274904805
openai,free_form,material_aware_iou,0.0085207164305583,0.5425197628479428,0.5881011482813241
openai,free_form,total_normalized_repair_cost,0.1779477046223682,0.1170319360645458,0.5589478491512532
openai,structured,absolute_iou,0.0188040991518851,0.2565453853190311,0.7419026209265194
openai,structured,translation_aligned_iou,0.0269894929370286,0.1131187289881076,0.7788512679408169
openai,structured,bbox_dimension_mae,0.6856388208005668,0.0828288508349678,0.971340644098652
openai,structured,material_set_f1,0.078058578841289,0.1077800738577765,0.4546027741470717
openai,structured,material_aware_iou,0.0073452682636543,0.5424831465926249,0.6137724573203973
openai,structured,total_normalized_repair_cost,0.1564500439732029,0.1017338155533135,0.751606175825357
