participant_id,condition,case_id,submission_path,start_time_iso,end_time_iso,elapsed_minutes,notes
,image_only,v1_building_087,outputs/human_image_rebuild/submissions/<participant_id>/image_only/v1_building_087,,,,
,image_plus_description,v1_building_087,outputs/human_image_rebuild/submissions/<participant_id>/image_plus_description/v1_building_087,,,,
,image_plus_description_plus_structured_ir,v1_building_087,outputs/human_image_rebuild/submissions/<participant_id>/image_plus_description_plus_structured_ir/v1_building_087,,,,
,image_only,v1_building_029,outputs/human_image_rebuild/submissions/<participant_id>/image_only/v1_building_029,,,,
,image_plus_description,v1_building_029,outputs/human_image_rebuild/submissions/<participant_id>/image_plus_description/v1_building_029,,,,
,image_plus_description_plus_structured_ir,v1_building_029,outputs/human_image_rebuild/submissions/<participant_id>/image_plus_description_plus_structured_ir/v1_building_029,,,,
,image_only,v1_building_014,outputs/human_image_rebuild/submissions/<participant_id>/image_only/v1_building_014,,,,
,image_plus_description,v1_building_014,outputs/human_image_rebuild/submissions/<participant_id>/image_plus_description/v1_building_014,,,,
,image_plus_description_plus_structured_ir,v1_building_014,outputs/human_image_rebuild/submissions/<participant_id>/image_plus_description_plus_structured_ir/v1_building_014,,,,
,image_only,v1_building_017,outputs/human_image_rebuild/submissions/<participant_id>/image_only/v1_building_017,,,,
,image_plus_description,v1_building_017,outputs/human_image_rebuild/submissions/<participant_id>/image_plus_description/v1_building_017,,,,
,image_plus_description_plus_structured_ir,v1_building_017,outputs/human_image_rebuild/submissions/<participant_id>/image_plus_description_plus_structured_ir/v1_building_017,,,,
,image_only,v4_building_012,outputs/human_image_rebuild/submissions/<participant_id>/image_only/v4_building_012,,,,
,image_plus_description,v4_building_012,outputs/human_image_rebuild/submissions/<participant_id>/image_plus_description/v4_building_012,,,,
,image_plus_description_plus_structured_ir,v4_building_012,outputs/human_image_rebuild/submissions/<participant_id>/image_plus_description_plus_structured_ir/v4_building_012,,,,
,image_only,v4_building_007,outputs/human_image_rebuild/submissions/<participant_id>/image_only/v4_building_007,,,,
,image_plus_description,v4_building_007,outputs/human_image_rebuild/submissions/<participant_id>/image_plus_description/v4_building_007,,,,
,image_plus_description_plus_structured_ir,v4_building_007,outputs/human_image_rebuild/submissions/<participant_id>/image_plus_description_plus_structured_ir/v4_building_007,,,,
,image_only,v4_building_076,outputs/human_image_rebuild/submissions/<participant_id>/image_only/v4_building_076,,,,
,image_plus_description,v4_building_076,outputs/human_image_rebuild/submissions/<participant_id>/image_plus_description/v4_building_076,,,,
,image_plus_description_plus_structured_ir,v4_building_076,outputs/human_image_rebuild/submissions/<participant_id>/image_plus_description_plus_structured_ir/v4_building_076,,,,
,image_only,v4_building_086,outputs/human_image_rebuild/submissions/<participant_id>/image_only/v4_building_086,,,,
,image_plus_description,v4_building_086,outputs/human_image_rebuild/submissions/<participant_id>/image_plus_description/v4_building_086,,,,
,image_plus_description_plus_structured_ir,v4_building_086,outputs/human_image_rebuild/submissions/<participant_id>/image_plus_description_plus_structured_ir/v4_building_086,,,,
