[DRAFT_RESPONSE]
{
  "plan_version": "v1",
  "bbox": { "xmin": 0, "xmax": 34, "ymin": 0, "ymax": 19, "zmin": 0, "zmax": 26 },
  "palette": {
    "wall": "stone_bricks",
    "roof": "oak_planks",
    "trim": "quartz_block",
    "glass": "glass",
    "light": "glowstone",
    "floor": "oak_planks"
  },
  "operations": [
    {"op": "fill", "x1": 1, "y1": 0, "z1": 1, "x2": 33, "y2": 0, "z2": 25, "block": "quartz_block", "purpose": "foundation_ledge"},
    {"op": "fill", "x1": 3, "y1": 1, "z1": 3, "x2": 31, "y2": 1, "z2": 23, "block": "oak_planks", "purpose": "ground_floor_slab"},
    {"op": "fill", "x1": 3, "y1": 1, "z1": 3, "x2": 31, "y2": 6, "z2": 23, "block": "stone_bricks", "purpose": "main_mass_lower_stone_band"},
    {"op": "fill", "x1": 4, "y1": 4, "z1": 4, "x2": 30, "y2": 4, "z2": 22, "block": "quartz_block", "purpose": "white_trim_midband"},
    {"op": "fill", "x1": 4, "y1": 5, "z1": 4, "x2": 30, "y2": 7, "z2": 22, "block": "oak_planks", "purpose": "wood_plank_band"},
    {"op": "fill", "x1": 5, "y1": 7, "z1": 5, "x2": 29, "y2": 10, "z2": 21, "block": "stone_bricks", "purpose": "main_mass_upper_stone_band"},
    {"op": "fill", "x1": 3, "y1": 6, "z1": 11, "x2": 31, "y2": 6, "z2": 13, "block": "glass", "purpose": "front_horizontal_window_row"},
    {"op": "fill", "x1": 3, "y1": 6, "z1": 15, "x2": 31, "y2": 6, "z2": 17, "block": "glass", "purpose": "back_horizontal_window_row"},
    {"op": "fill", "x1": 8, "y1": 6, "z1": 3, "x2": 10, "y2": 8, "z2": 3, "block": "glass", "purpose": "side_windows_row_left_front"},
    {"op": "fill", "x1": 23, "y1": 6, "z1": 3, "x2": 25, "y2": 8, "z2": 3, "block": "glass", "purpose": "side_windows_row_right_front"},
    {"op": "fill", "x1": 3, "y1": 1, "z1": 10, "x2": 3, "y2": 4, "z2": 14, "block": "quartz_block", "purpose": "front_entrance_trim"},
    {"op": "carve", "x1": 3, "y1": 1, "z1": 11, "x2": 3, "y2": 3, "z2": 13, "purpose": "entrance_opening"},
    {"op": "fill", "x1": 2, "y1": 1, "z1": 2, "x2": 32, "y2": 1, "z2": 24, "block": "oak_planks", "purpose": "interior_floor_secondary"},
    {"op": "fill", "x1": 2, "y1": 9, "z1": 2, "x2": 32, "y2": 9, "z2": 24, "block": "oak_planks", "purpose": "upper_floor"},
    {"op": "fill", "x1": 1, "y1": 1, "z1": 1, "x2": 1, "y2": 8, "z2": 25, "block": "quartz_block", "purpose": "foundation_outer_left"},
    {"op": "fill", "x1": 33, "y1": 1, "z1": 1, "x2": 33, "y2": 8, "z2": 25, "block": "quartz_block", "purpose": "foundation_outer_right"},
    {"op": "fill", "x1": 2, "y1": 1, "z1": 1, "x2": 32, "y2": 8, "z2": 1, "block": "quartz_block", "purpose": "foundation_outer_front"},
    {"op": "fill", "x1": 2, "y1": 1, "z1": 25, "x2": 32, "y2": 8, "z2": 25, "block": "quartz_block", "purpose": "foundation_outer_back"},
    {"op": "fill", "x1": 2, "y1": 3, "z1": 2, "x2": 4, "y2": 12, "z2": 4, "block": "stone_bricks", "purpose": "tower_northwest"},
    {"op": "fill", "x1": 29, "y1": 3, "z1": 2, "x2": 31, "y2": 12, "z2": 4, "block": "stone_bricks", "purpose": "tower_northeast"},
    {"op": "fill", "x1": 2, "y1": 3, "z1": 22, "x2": 4, "y2": 12, "z2": 24, "block": "stone_bricks", "purpose": "tower_southwest"},
    {"op": "fill", "x1": 29, "y1": 3, "z1": 22, "x2": 31, "y2": 12, "z2": 24, "block": "stone_bricks", "purpose": "tower_southeast"},
    {"op": "fill", "x1": 2, "y1": 7, "z1": 3, "x2": 4, "y2": 7, "z2": 3, "block": "glass", "purpose": "tower_window_nw_mid"},
    {"op": "fill", "x1": 30, "y1": 7, "z1": 3, "x2": 30, "y2": 7, "z2": 3, "block": "glass", "purpose": "tower_window_ne_mid"},
    {"op": "fill", "x1": 2, "y1": 7, "z1": 23, "x2": 2, "y2": 7, "z2": 23, "block": "glass", "purpose": "tower_window_sw_mid"},
    {"op": "fill", "x1": 30, "y1": 7, "z1": 23, "x2":
