participant_id,condition,case_id,submission_path,elapsed_minutes,notes
,image_only,llm_case_001,submissions/<participant_id>/image_only/llm_case_001,,
,image_only,llm_case_002,submissions/<participant_id>/image_only/llm_case_002,,
,image_only,llm_case_003,submissions/<participant_id>/image_only/llm_case_003,,
,image_only,llm_case_004,submissions/<participant_id>/image_only/llm_case_004,,
,image_only,llm_case_005,submissions/<participant_id>/image_only/llm_case_005,,
,image_only,llm_case_006,submissions/<participant_id>/image_only/llm_case_006,,
,image_only,llm_case_007,submissions/<participant_id>/image_only/llm_case_007,,
,image_only,llm_case_008,submissions/<participant_id>/image_only/llm_case_008,,
,image_only,llm_case_009,submissions/<participant_id>/image_only/llm_case_009,,
,image_only,llm_case_010,submissions/<participant_id>/image_only/llm_case_010,,
